Quarter,Geographical region,Country of nationality,"Total Family",Partner ,"Partner (for immediate settlement)",Child ,"Child (for immediate settlement)",Other ,"Other (for immediate settlement)"
2005 Q1,Middle East,Bahrain,1,1,0,0,0,0,0
2005 Q1,Asia South,Bangladesh,705,691,1,0,8,3,2
2005 Q1,America Central and South,Barbados,14,14,0,0,0,0,0
2005 Q1,Europe Other,Belarus,20,19,1,0,0,0,0
2005 Q1,EU 14,Belgium,0,0,0,0,0,0,0
2005 Q1,America Central and South,Belize,1,1,0,0,0,0,0
2005 Q1,Africa Sub-Saharan,Benin,1,1,0,0,0,0,0
2005 Q1,Other,Bermuda (British),0,0,0,0,0,0,0
2005 Q1,Asia South,Bhutan,0,0,0,0,0,0,0
2005 Q1,America Central and South,Bolivia,3,0,3,0,0,0,0
2005 Q1,America Central and South,"Bonaire, Sint Eustatius and Saba",z,z,z,z,z,z,z
2005 Q1,Europe Other,Bosnia and Herzegovina,10,7,1,0,0,0,2
2005 Q1,Africa Sub-Saharan,Botswana,4,3,1,0,0,0,0
2005 Q1,America Central and South,Brazil,144,142,2,0,0,0,0
2005 Q1,Other,British overseas citizens,1,1,0,0,0,0,0
2005 Q1,Asia South East,Brunei,0,0,0,0,0,0,0
2005 Q1,EU 2,Bulgaria,57,50,1,0,6,0,0
2005 Q1,Africa Sub-Saharan,Burkina,0,0,0,0,0,0,0
2005 Q1,Asia South East,Burma,7,3,0,0,0,4,0
2005 Q1,Africa Sub-Saharan,Burundi,5,0,0,0,0,5,0
2005 Q1,Asia South East,Cambodia,2,2,0,0,0,0,0
2005 Q1,Africa Sub-Saharan,Cameroon,35,4,8,0,6,17,0
2005 Q1,America North,Canada,140,108,25,0,6,0,1
2005 Q1,Africa Sub-Saharan,Cape Verde,0,0,0,0,0,0,0
2005 Q1,Other,Cayman Islands (British),0,0,0,0,0,0,0
2005 Q1,Africa Sub-Saharan,Central African Republic,0,0,0,0,0,0,0
2005 Q1,Africa Sub-Saharan,Chad,4,0,0,0,0,4,0
2005 Q1,America Central and South,Chile,23,21,2,0,0,0,0
2005 Q1,Asia East,China,188,125,7,0,35,17,4
2005 Q1,Oceania,Christmas Island,0,0,0,0,0,0,0
2005 Q1,Oceania,Cocos (Keeling) Islands,0,0,0,0,0,0,0
2005 Q1,America Central and South,Colombia,112,92,7,0,6,5,2
2005 Q1,Africa Sub-Saharan,Comoros,1,1,0,0,0,0,0
2005 Q1,Africa Sub-Saharan,Congo,22,8,0,0,4,10,0
2005 Q1,Africa Sub-Saharan,Congo (Democratic Republic),163,20,0,0,20,111,12
2005 Q1,Oceania,Cook Islands,0,0,0,0,0,0,0
2005 Q1,America Central and South,Costa Rica,0,0,0,0,0,0,0
2005 Q1,EU Other,Croatia,30,29,0,0,0,0,1
2005 Q1,America Central and South,Cuba,37,37,0,0,0,0,0
2005 Q1,America Central and South,Curacao,z,z,z,z,z,z,z
2005 Q1,EU Other,Cyprus,7,5,0,0,0,2,0
2005 Q1,Europe Other,Cyprus (Northern part of),0,0,0,0,0,0,0
2005 Q1,EU 8,Czech Republic,0,0,0,0,0,0,0
2005 Q1,EU 14,Denmark,0,0,0,0,0,0,0
2005 Q1,Africa Sub-Saharan,Djibouti,2,2,0,0,0,0,0
2005 Q1,America Central and South,Dominica,5,5,0,0,0,0,0
2005 Q1,America Central and South,Dominican Republic,14,12,0,0,2,0,0
2005 Q1,Asia South East,East Timor,0,0,0,0,0,0,0
2005 Q1,America Central and South,Ecuador,15,15,0,0,0,0,0
2005 Q1,Africa North,Egypt,59,56,3,0,0,0,0
2005 Q1,America Central and South,El Salvador,3,3,0,0,0,0,0
2005 Q1,Africa Sub-Saharan,Equatorial Guinea,0,0,0,0,0,0,0
2005 Q1,Africa Sub-Saharan,Eritrea,44,8,7,0,23,3,3
2005 Q1,EU 8,Estonia,0,0,0,0,0,0,0
2005 Q1,Africa Sub-Saharan,Ethiopia,83,35,0,0,2,39,7
2005 Q1,Other,Falkland Islands (British),0,0,0,0,0,0,0
2005 Q1,Europe Other,Faroe Islands,0,0,0,0,0,0,0
2005 Q1,Oceania,Fiji,6,5,0,0,1,0,0
2005 Q1,EU 14,Finland,0,0,0,0,0,0,0
2005 Q1,Europe Other,Former Yugoslavia,z,z,z,z,z,z,z
2005 Q1,EU 14,France,0,0,0,0,0,0,0
2005 Q1,America Central and South,French Guiana,0,0,0,0,0,0,0
2005 Q1,Oceania,French Polynesia,0,0,0,0,0,0,0
2005 Q1,Africa Sub-Saharan,Gabon,0,0,0,0,0,0,0
2005 Q1,Africa Sub-Saharan,"Gambia, The",84,51,19,0,12,2,0
2005 Q1,Europe Other,Georgia,11,3,3,0,0,4,1
2005 Q1,EU 14,Germany,0,0,0,0,0,0,0
2005 Q1,Africa Sub-Saharan,Ghana,240,189,1,0,50,0,0
2005 Q1,Other,Gibraltar (British),0,0,0,0,0,0,0
2005 Q1,EU 14,Greece,0,0,0,0,0,0,0
2005 Q1,Europe Other,Greenland,0,0,0,0,0,0,0
2005 Q1,America Central and South,Grenada,16,16,0,0,0,0,0
2005 Q1,America Central and South,Guadeloupe,0,0,0,0,0,0,0
2005 Q1,Oceania,Guam,0,0,0,0,0,0,0
2005 Q1,America Central and South,Guatemala,7,2,0,5,0,0,0
2005 Q1,Africa Sub-Saharan,Guinea,15,3,0,0,0,12,0
2005 Q1,Africa Sub-Saharan,Guinea-Bissau,0,0,0,0,0,0,0
2005 Q1,America Central and South,Guyana,15,10,0,0,5,0,0
2005 Q1,America Central and South,Haiti,2,2,0,0,0,0,0
2005 Q1,Oceania,Heard Island and McDonald Islands,0,0,0,0,0,0,0
2005 Q1,America Central and South,Honduras,2,2,0,0,0,0,0
2005 Q1,Asia East,Hong Kong,60,47,9,0,4,0,0
2005 Q1,EU 8,Hungary,0,0,0,0,0,0,0
2005 Q1,Europe Other,Iceland,0,0,0,0,0,0,0
2005 Q1,Asia South,India,"1,849","1,583",41,3,148,4,70
2005 Q1,Asia South East,Indonesia,39,31,5,0,3,0,0
2005 Q1,Middle East,Iran,151,79,6,0,5,56,5
2005 Q1,Middle East,Iraq,268,89,0,0,5,173,1
2005 Q1,EU 14,Ireland,0,0,0,0,0,0,0
2005 Q1,Middle East,Israel,47,37,8,0,2,0,0
2005 Q1,EU 14,Italy,0,0,0,0,0,0,0
2005 Q1,Africa Sub-Saharan,Ivory Coast,28,14,0,0,5,9,0
2005 Q1,America Central and South,Jamaica,103,84,3,0,16,0,0
2005 Q1,Asia East,Japan,127,108,15,1,2,0,1
2005 Q1,Middle East,Jordan,20,15,1,0,4,0,0
2005 Q1,Asia Central,Kazakhstan,15,15,0,0,0,0,0
2005 Q1,Africa Sub-Saharan,Kenya,120,90,14,0,12,2,2
2005 Q1,Oceania,Kiribati,0,0,0,0,0,0,0
2005 Q1,Asia East,Korea (North),0,0,0,0,0,0,0
2005 Q1,Asia East,Korea (South),28,28,0,0,0,0,0
2005 Q1,Europe Other,Kosovo,z,z,z,z,z,z,z
2005 Q1,Middle East,Kuwait,1,0,1,0,0,0,0
2005 Q1,Asia Central,Kyrgyzstan,5,1,1,0,0,3,0
2005 Q1,Asia South East,Laos,3,3,0,0,0,0,0
2005 Q1,EU 8,Latvia,1,1,0,0,0,0,0
2005 Q1,Middle East,Lebanon,45,32,1,0,8,1,3
2005 Q1,Africa Sub-Saharan,Lesotho,1,1,0,0,0,0,0
2005 Q1,Africa Sub-Saharan,Liberia,9,3,0,0,5,1,0
2005 Q1,Africa North,Libya,15,13,1,0,1,0,0
2005 Q1,Europe Other,Liechtenstein,0,0,0,0,0,0,0
2005 Q1,EU 8,Lithuania,0,0,0,0,0,0,0
2005 Q1,EU 14,Luxembourg,0,0,0,0,0,0,0
2005 Q1,Asia East,Macau,2,2,0,0,0,0,0
2005 Q1,Europe Other,Macedonia,7,5,0,0,0,2,0
2005 Q1,Africa Sub-Saharan,Madagascar,1,1,0,0,0,0,0
2005 Q1,Africa Sub-Saharan,Malawi,18,11,3,0,4,0,0
2005 Q1,Asia South East,Malaysia,66,56,7,0,1,0,2
2005 Q1,Asia South,Maldives,1,1,0,0,0,0,0
2005 Q1,Africa Sub-Saharan,Mali,2,2,0,0,0,0,0
2005 Q1,EU Other,Malta,0,0,0,0,0,0,0
2005 Q1,Oceania,Marshall Islands,0,0,0,0,0,0,0
2005 Q1,America Central and South,Martinique,0,0,0,0,0,0,0
2005 Q1,Africa North,Mauritania,1,1,0,0,0,0,0
2005 Q1,Africa Sub-Saharan,Mauritius,62,42,11,0,9,0,0
2005 Q1,Africa Sub-Saharan,Mayotte,0,0,0,0,0,0,0
2005 Q1,America Central and South,Mexico,44,43,1,0,0,0,0
2005 Q1,Oceania,Micronesia,0,0,0,0,0,0,0
2005 Q1,Europe Other,Moldova,12,8,2,0,0,2,0
2005 Q1,Europe Other,Monaco,0,0,0,0,0,0,0
2005 Q1,Asia East,Mongolia,3,3,0,0,0,0,0
2005 Q1,Europe Other,Montenegro,z,z,z,z,z,z,z
2005 Q1,Other,Montserrat (British),0,0,0,0,0,0,0
2005 Q1,Africa North,Morocco,210,207,3,0,0,0,0
2005 Q1,Africa Sub-Saharan,Mozambique,3,3,0,0,0,0,0
2005 Q1,Africa Sub-Saharan,Namibia,7,7,0,0,0,0,0
2005 Q1,Oceania,Nauru,0,0,0,0,0,0,0
2005 Q1,Asia South,Nepal,623,19,206,1,374,3,20
2005 Q1,EU 14,Netherlands,0,0,0,0,0,0,0
2005 Q1,America Central and South,Netherlands Antilles,0,0,0,0,0,0,0
2005 Q1,Oceania,New Caledonia,0,0,0,0,0,0,0
2005 Q1,Oceania,New Zealand,210,129,60,0,17,0,4
2005 Q1,America Central and South,Nicaragua,2,2,0,0,0,0,0
2005 Q1,Africa Sub-Saharan,Niger,0,0,0,0,0,0,0
2005 Q1,Africa Sub-Saharan,Nigeria,249,191,9,0,41,4,4
2005 Q1,Oceania,Niue,0,0,0,0,0,0,0
2005 Q1,Oceania,Norfolk Island,0,0,0,0,0,0,0
2005 Q1,Oceania,Northern Mariana Islands,0,0,0,0,0,0,0
2005 Q1,Europe Other,Norway,0,0,0,0,0,0,0
2005 Q1,Middle East,Occupied Palestinian Territories,10,8,0,0,2,0,0
2005 Q1,Middle East,Oman,1,1,0,0,0,0,0
2005 Q1,Other,Other and unknown,18,12,0,1,2,2,1
2005 Q1,Asia South,Pakistan,"2,198","2,050",18,0,45,64,21
2005 Q1,Oceania,Palau,0,0,0,0,0,0,0
2005 Q1,America Central and South,Panama,5,4,1,0,0,0,0
2005 Q1,Oceania,Papua New Guinea,1,1,0,0,0,0,0
2005 Q1,America Central and South,Paraguay,3,3,0,0,0,0,0
2005 Q1,America Central and South,Peru,38,34,2,0,2,0,0
2005 Q1,Asia South East,Philippines,471,342,11,0,115,0,3
2005 Q1,Other,Pitcairn Islands (British),0,0,0,0,0,0,0
2005 Q1,EU 8,Poland,0,0,0,0,0,0,0
2005 Q1,EU 14,Portugal,0,0,0,0,0,0,0
2005 Q1,America North,Puerto Rico,0,0,0,0,0,0,0
2005 Q1,Middle East,Qatar,0,0,0,0,0,0,0
2005 Q1,Other,Refugee,5,5,0,0,0,0,0
2005 Q1,Africa Sub-Saharan,Reunion,0,0,0,0,0,0,0
2005 Q1,EU 2,Romania,85,80,2,0,1,0,2
2005 Q1,Europe Other,Russia,197,183,1,2,4,3,4
2005 Q1,Africa Sub-Saharan,Rwanda,5,2,1,0,0,2,0
2005 Q1,Oceania,Samoa,1,1,0,0,0,0,0
2005 Q1,Europe Other,San Marino,0,0,0,0,0,0,0
2005 Q1,Africa Sub-Saharan,Sao Tome and Principe,0,0,0,0,0,0,0
2005 Q1,Middle East,Saudi Arabia,3,2,1,0,0,0,0
2005 Q1,Africa Sub-Saharan,Senegal,6,5,0,0,1,0,0
2005 Q1,Europe Other,Serbia,z,z,z,z,z,z,z
2005 Q1,Europe Other,Serbia and Montenegro,100,93,1,0,2,0,4
2005 Q1,Africa Sub-Saharan,Seychelles,13,10,3,0,0,0,0
2005 Q1,Africa Sub-Saharan,Sierra Leone,51,23,1,0,9,11,7
2005 Q1,Asia South East,Singapore,27,20,7,0,0,0,0
2005 Q1,EU 8,Slovakia,0,0,0,0,0,0,0
2005 Q1,EU 8,Slovenia,0,0,0,0,0,0,0
2005 Q1,Oceania,Solomon Islands,1,1,0,0,0,0,0
2005 Q1,Africa Sub-Saharan,Somalia,"1,039",145,4,0,26,755,109
2005 Q1,Africa Sub-Saharan,South Africa,571,312,153,0,104,0,2
2005 Q1,Other,South Georgia and South Sandwich Islands,0,0,0,0,0,0,0
2005 Q1,EU 14,Spain,0,0,0,0,0,0,0
2005 Q1,Asia South,Sri Lanka,251,183,1,0,1,47,19
2005 Q1,Other,St. Helena (British),0,0,0,0,0,0,0
2005 Q1,America Central and South,St. Kitts and Nevis,2,2,0,0,0,0,0
2005 Q1,America Central and South,St. Lucia,12,9,2,0,1,0,0
2005 Q1,America Central and South,St. Maarten (Dutch Part),z,z,z,z,z,z,z
2005 Q1,America Central and South,St. Martin (French Part),0,0,0,0,0,0,0
2005 Q1,America Central and South,St. Pierre and Miquelon,0,0,0,0,0,0,0
2005 Q1,America Central and South,St. Vincent and the Grenadines,9,8,1,0,0,0,0
2005 Q1,Other,Stateless,13,5,1,0,0,7,0
2005 Q1,Africa North,Sudan,63,36,0,0,1,24,2
2005 Q1,Africa Sub-Saharan,Sudan (South),z,z,z,z,z,z,z
2005 Q1,America Central and South,Surinam,0,0,0,0,0,0,0
2005 Q1,Europe Other,Svalbard and Jan Mayen,0,0,0,0,0,0,0
2005 Q1,Africa Sub-Saharan,Swaziland,0,0,0,0,0,0,0
2005 Q1,EU 14,Sweden,0,0,0,0,0,0,0
2005 Q1,Europe Other,Switzerland,1,0,1,0,0,0,0
2005 Q1,Middle East,Syria,22,17,2,0,3,0,0
2005 Q1,Asia East,Taiwan,20,16,3,0,1,0,0
2005 Q1,Asia Central,Tajikistan,1,1,0,0,0,0,0
2005 Q1,Africa Sub-Saharan,Tanzania,41,23,7,0,7,1,3
2005 Q1,Asia South East,Thailand,551,508,5,6,32,0,0
2005 Q1,Africa Sub-Saharan,Togo,9,5,0,0,2,2,0
2005 Q1,Oceania,Tokelau,0,0,0,0,0,0,0
2005 Q1,Oceania,Tonga,0,0,0,0,0,0,0
2005 Q1,America Central and South,Trinidad and Tobago,46,37,3,0,4,0,2
2005 Q1,Africa North,Tunisia,42,42,0,0,0,0,0
2005 Q1,Europe Other,Turkey,418,291,4,0,11,112,0
2005 Q1,Asia Central,Turkmenistan,2,0,1,0,1,0,0
2005 Q1,Other,Turks and Caicos Islands (British),0,0,0,0,0,0,0
2005 Q1,Oceania,Tuvalu,0,0,0,0,0,0,0
2005 Q1,Africa Sub-Saharan,Uganda,60,15,6,0,6,32,1
2005 Q1,Europe Other,Ukraine,121,120,0,0,0,0,1
2005 Q1,Middle East,United Arab Emirates,0,0,0,0,0,0,0
2005 Q1,America North,United States,717,578,111,0,25,0,3
2005 Q1,America Central and South,Uruguay,2,2,0,0,0,0,0
2005 Q1,Asia Central,Uzbekistan,14,10,2,0,2,0,0
2005 Q1,Oceania,Vanuatu,0,0,0,0,0,0,0
2005 Q1,Europe Other,Vatican City,0,0,0,0,0,0,0
2005 Q1,America Central and South,Venezuela,31,29,1,0,1,0,0
2005 Q1,Asia South East,Vietnam,35,33,1,0,1,0,0
2005 Q1,Other,Virgin Islands (British),0,0,0,0,0,0,0
2005 Q1,America North,Virgin Islands (US),0,0,0,0,0,0,0
2005 Q1,Oceania,Wallis and Futuna,0,0,0,0,0,0,0
2005 Q1,Africa North,Western Sahara,0,0,0,0,0,0,0
2005 Q1,Middle East,Yemen,39,31,1,0,6,1,0
2005 Q1,Africa Sub-Saharan,Zambia,17,9,0,0,8,0,0
2005 Q1,Africa Sub-Saharan,Zimbabwe,544,46,21,0,48,425,4
2005 Q2,*Total,*Total,"17,903","11,937","1,112",17,"1,532","2,304","1,001"
2005 Q2,Africa North,*Total Africa North,443,380,15,1,7,38,2
2005 Q2,Africa Sub-Saharan,*Total Africa Sub-Saharan,"4,193","1,573",259,1,390,"1,670",300
2005 Q2,America North,*Total America North,"1,024",792,171,0,57,1,3
2005 Q2,America Central and South,*Total America Central and South,784,696,38,4,41,2,3
2005 Q2,Asia Central,*Total Asia Central,254,118,6,0,9,106,15
2005 Q2,Asia East,*Total Asia East,587,450,56,0,51,21,9
2005 Q2,Asia South,*Total Asia South,"6,729","5,024",279,6,626,169,625
2005 Q2,Asia South East,*Total Asia South East,"1,022",788,55,3,166,7,3
2005 Q2,EU 14,*Total EU 14,0,0,0,0,0,0,0
2005 Q2,EU 2,*Total EU 2,147,138,6,0,2,0,1
2005 Q2,EU 8,*Total EU 8,0,0,0,0,0,0,0
2005 Q2,EU Other,*Total EU Other,24,20,3,0,0,0,1
2005 Q2,Europe Other,*Total Europe Other,"1,437","1,177",35,2,40,166,17
2005 Q2,Middle East,*Total Middle East,609,383,33,0,73,105,15
2005 Q2,Oceania,*Total Oceania,600,380,154,0,59,0,7
2005 Q2,Other,*Total Other,50,18,2,0,11,19,0
2005 Q2,Asia Central,Afghanistan,224,93,3,0,7,106,15
2005 Q2,Europe Other,Albania,390,365,1,0,6,18,0
2005 Q2,Africa North,Algeria,69,66,2,1,0,0,0
2005 Q2,Oceania,American Samoa,0,0,0,0,0,0,0
2005 Q2,Europe Other,Andorra,0,0,0,0,0,0,0
2005 Q2,Africa Sub-Saharan,Angola,8,2,0,0,1,5,0
2005 Q2,Other,Anguilla (British),0,0,0,0,0,0,0
2005 Q2,America Central and South,Antigua and Barbuda,3,3,0,0,0,0,0
2005 Q2,America Central and South,Argentina,26,25,1,0,0,0,0
2005 Q2,Europe Other,Armenia,6,4,0,0,1,0,1
2005 Q2,America Central and South,Aruba,0,0,0,0,0,0,0
2005 Q2,Oceania,Australia,397,253,98,0,40,0,6
2005 Q2,EU 14,Austria,0,0,0,0,0,0,0
2005 Q2,Europe Other,Azerbaijan,18,15,0,0,0,2,1
2005 Q2,America Central and South,"Bahamas, The",2,2,0,0,0,0,0
2005 Q2,Middle East,Bahrain,1,1,0,0,0,0,0
2005 Q2,Asia South,Bangladesh,"1,064","1,049",2,0,7,1,5
2005 Q2,America Central and South,Barbados,20,20,0,0,0,0,0
2005 Q2,Europe Other,Belarus,38,38,0,0,0,0,0
2005 Q2,EU 14,Belgium,0,0,0,0,0,0,0
2005 Q2,America Central and South,Belize,2,1,0,0,1,0,0
2005 Q2,Africa Sub-Saharan,Benin,0,0,0,0,0,0,0
2005 Q2,Other,Bermuda (British),0,0,0,0,0,0,0
2005 Q2,Asia South,Bhutan,0,0,0,0,0,0,0
2005 Q2,America Central and South,Bolivia,11,4,5,0,2,0,0
2005 Q2,America Central and South,"Bonaire, Sint Eustatius and Saba",z,z,z,z,z,z,z
2005 Q2,Europe Other,Bosnia and Herzegovina,22,6,13,0,1,0,2
2005 Q2,Africa Sub-Saharan,Botswana,2,1,0,0,1,0,0
2005 Q2,America Central and South,Brazil,203,197,1,0,4,0,1
2005 Q2,Other,British overseas citizens,4,2,1,0,1,0,0
2005 Q2,Asia South East,Brunei,1,1,0,0,0,0,0
2005 Q2,EU 2,Bulgaria,42,37,3,0,2,0,0
2005 Q2,Africa Sub-Saharan,Burkina,0,0,0,0,0,0,0
2005 Q2,Asia South East,Burma,17,9,1,0,0,7,0
2005 Q2,Africa Sub-Saharan,Burundi,24,0,0,0,0,24,0
2005 Q2,Asia South East,Cambodia,3,3,0,0,0,0,0
2005 Q2,Africa Sub-Saharan,Cameroon,26,18,0,0,1,7,0
2005 Q2,America North,Canada,188,138,36,0,10,1,3
2005 Q2,Africa Sub-Saharan,Cape Verde,0,0,0,0,0,0,0
2005 Q2,Other,Cayman Islands (British),0,0,0,0,0,0,0
2005 Q2,Africa Sub-Saharan,Central African Republic,0,0,0,0,0,0,0
2005 Q2,Africa Sub-Saharan,Chad,15,0,1,0,0,14,0
2005 Q2,America Central and South,Chile,12,11,1,0,0,0,0
2005 Q2,Asia East,China,249,174,14,0,33,21,7
2005 Q2,Oceania,Christmas Island,0,0,0,0,0,0,0
2005 Q2,Oceania,Cocos (Keeling) Islands,0,0,0,0,0,0,0
2005 Q2,America Central and South,Colombia,114,109,2,0,1,1,1
2005 Q2,Africa Sub-Saharan,Comoros,1,1,0,0,0,0,0
2005 Q2,Africa Sub-Saharan,Congo,26,5,0,0,5,16,0
2005 Q2,Africa Sub-Saharan,Congo (Democratic Republic),188,15,2,0,6,146,19
2005 Q2,Oceania,Cook Islands,0,0,0,0,0,0,0
2005 Q2,America Central and South,Costa Rica,1,1,0,0,0,0,0
2005 Q2,EU Other,Croatia,21,17,3,0,0,0,1
2005 Q2,America Central and South,Cuba,33,32,0,0,0,1,0
2005 Q2,America Central and South,Curacao,z,z,z,z,z,z,z
2005 Q2,EU Other,Cyprus,3,3,0,0,0,0,0
2005 Q2,Europe Other,Cyprus (Northern part of),0,0,0,0,0,0,0
2005 Q2,EU 8,Czech Republic,0,0,0,0,0,0,0
2005 Q2,EU 14,Denmark,0,0,0,0,0,0,0
2005 Q2,Africa Sub-Saharan,Djibouti,5,5,0,0,0,0,0
2005 Q2,America Central and South,Dominica,2,2,0,0,0,0,0
2005 Q2,America Central and South,Dominican Republic,10,4,4,0,2,0,0
2005 Q2,Asia South East,East Timor,0,0,0,0,0,0,0
2005 Q2,America Central and South,Ecuador,21,21,0,0,0,0,0
2005 Q2,Africa North,Egypt,93,76,10,0,7,0,0
2005 Q2,America Central and South,El Salvador,1,1,0,0,0,0,0
2005 Q2,Africa Sub-Saharan,Equatorial Guinea,0,0,0,0,0,0,0
2005 Q2,Africa Sub-Saharan,Eritrea,44,13,2,0,14,11,4
2005 Q2,EU 8,Estonia,0,0,0,0,0,0,0
2005 Q2,Africa Sub-Saharan,Ethiopia,79,35,1,0,1,37,5
2005 Q2,Other,Falkland Islands (British),0,0,0,0,0,0,0
2005 Q2,Europe Other,Faroe Islands,0,0,0,0,0,0,0
2005 Q2,Oceania,Fiji,3,3,0,0,0,0,0
2005 Q2,EU 14,Finland,0,0,0,0,0,0,0
2005 Q2,Europe Other,Former Yugoslavia,z,z,z,z,z,z,z
2005 Q2,EU 14,France,0,0,0,0,0,0,0
2005 Q2,America Central and South,French Guiana,0,0,0,0,0,0,0
2005 Q2,Oceania,French Polynesia,0,0,0,0,0,0,0
2005 Q2,Africa Sub-Saharan,Gabon,1,1,0,0,0,0,0
2005 Q2,Africa Sub-Saharan,"Gambia, The",106,89,3,0,13,1,0
2005 Q2,Europe Other,Georgia,5,3,1,0,1,0,0
2005 Q2,EU 14,Germany,0,0,0,0,0,0,0
2005 Q2,Africa Sub-Saharan,Ghana,261,216,2,0,36,6,1
2005 Q2,Other,Gibraltar (British),0,0,0,0,0,0,0
2005 Q2,EU 14,Greece,0,0,0,0,0,0,0
2005 Q2,Europe Other,Greenland,0,0,0,0,0,0,0
2005 Q2,America Central and South,Grenada,10,10,0,0,0,0,0
2005 Q2,America Central and South,Guadeloupe,0,0,0,0,0,0,0
2005 Q2,Oceania,Guam,0,0,0,0,0,0,0
2005 Q2,America Central and South,Guatemala,6,0,1,4,1,0,0
2005 Q2,Africa Sub-Saharan,Guinea,7,5,0,0,0,2,0
2005 Q2,Africa Sub-Saharan,Guinea-Bissau,0,0,0,0,0,0,0
2005 Q2,America Central and South,Guyana,19,13,0,0,6,0,0
2005 Q2,America Central and South,Haiti,1,1,0,0,0,0,0
2005 Q2,Oceania,Heard Island and McDonald Islands,0,0,0,0,0,0,0
2005 Q2,America Central and South,Honduras,2,1,1,0,0,0,0
2005 Q2,Asia East,Hong Kong,86,54,15,0,16,0,1
2005 Q2,EU 8,Hungary,0,0,0,0,0,0,0
2005 Q2,Europe Other,Iceland,0,0,0,0,0,0,0
2005 Q2,Asia South,India,"1,712","1,431",36,3,179,3,60
2005 Q2,Asia South East,Indonesia,47,38,5,0,4,0,0
2005 Q2,Middle East,Iran,166,86,8,0,4,62,6
2005 Q2,Middle East,Iraq,117,74,4,0,17,20,2
2005 Q2,EU 14,Ireland,0,0,0,0,0,0,0
2005 Q2,Middle East,Israel,67,48,13,0,6,0,0
2005 Q2,EU 14,Italy,0,0,0,0,0,0,0
2005 Q2,Africa Sub-Saharan,Ivory Coast,23,10,0,0,2,11,0
2005 Q2,America Central and South,Jamaica,99,78,5,0,16,0,0
2005 Q2,Asia East,Japan,178,155,21,0,1,0,1
2005 Q2,Middle East,Jordan,35,25,4,0,6,0,0
2005 Q2,Asia Central,Kazakhstan,16,13,2,0,1,0,0
2005 Q2,Africa Sub-Saharan,Kenya,155,99,20,0,36,0,0
2005 Q2,Oceania,Kiribati,0,0,0,0,0,0,0
2005 Q2,Asia East,Korea (North),0,0,0,0,0,0,0
2005 Q2,Asia East,Korea (South),35,34,1,0,0,0,0
2005 Q2,Europe Other,Kosovo,z,z,z,z,z,z,z
2005 Q2,Middle East,Kuwait,2,0,1,0,1,0,0
2005 Q2,Asia Central,Kyrgyzstan,4,4,0,0,0,0,0
2005 Q2,Asia South East,Laos,1,1,0,0,0,0,0
2005 Q2,EU 8,Latvia,0,0,0,0,0,0,0
2005 Q2,Middle East,Lebanon,57,43,0,0,10,4,0
2005 Q2,Africa Sub-Saharan,Lesotho,1,0,0,0,0,1,0
2005 Q2,Africa Sub-Saharan,Liberia,1,0,0,0,0,1,0
